name1,name2,score,source,target,cocktails
Light Rum,Lime Juice,7,7,21,"['Acapulco', 'Bacardi Cocktail', 'Banana Daiquiri', 'Frozen Daiquiri', 'Frozen Mint Daiquiri', 'Frozen Pineapple Daiquiri', 'Strawberry Daiquiri']"
Lime Juice,Triple Sec,6,21,6,"['Acapulco', 'Banana Daiquiri', 'Frozen Daiquiri', 'Kamikaze', 'Margarita', 'Yellow Bird']"
Egg White,Gin,5,20,3,"['Ace', 'Boxcar', 'Clover Club', 'Lady Love Fizz', 'Pink Lady']"
Egg White,Grenadine,5,20,12,"['Ace', 'Boxcar', 'Clover Club', 'Pink Lady', 'Tequila Fizz']"
Rum,Vodka,6,22,1,"['Adam Bomb', 'Aztec Punch', 'Brain Fart', 'National Aquarium', 'Orange Whip', 'Radioactive Long Island Iced Tea']"
Salt,Tequila,5,23,5,"['Adam Bomb', 'Blue Margarita', 'Margarita', 'Strawberry Margarita', 'Vampiro']"
Lemonade,Vodka,6,24,1,"['Adam Sunrise', 'Atomic Lokade', 'Avalon', 'Aztec Punch', 'Blue Lagoon', 'Shark Attack']"
Dry Vermouth,Gin,12,25,3,"['Adios Amigos Cocktail', 'Allies Cocktail', 'Bermuda Highball', 'Boomerang', 'English Rose Cocktail', 'Lone Tree Cooler', 'Martinez Cocktail', 'Martini', 'Queen Elizabeth', 'Rose', 'Turf Cocktail', 'Tuxedo Cocktail']"
Scotch,Sweet Vermouth,5,26,19,"['Affinity', 'Balmoral', 'Bobby Burns Cocktail', 'Flying Scotchman', 'Highland Fling Cocktail']"
Lemon Juice,Triple Sec,8,15,6,"['After Supper Cocktail', 'Applecar', 'Apricot Lady', 'Between The Sheets', 'Boxcar', 'City Slicker', 'Strawberry Margarita', 'White Lady']"
Gin,Lemon Peel,10,3,27,"['Alaska Cocktail', 'Arthur Tompkins', 'Bermuda Highball', 'Bluebird', 'Dubonnet Cocktail', 'English Highball', 'Gin Cooler', 'Gin Toddy', 'Lone Tree Cooler', 'Long Island Iced Tea']"
Creme De Cacao White,Light Cream,5,28,29,"['Alexander', 'Almond Joy', 'Brandy Alexander', 'Grasshopper', 'Orgasm']"
Light Cream,Nutmeg,6,29,30,"['Alexander', 'Brandy Alexander', 'Brandy Flip', 'Port Wine Flip', 'Quentin', 'Sherry Flip']"
Dry Vermouth,Lemon Peel,5,25,27,"['Allegheny', 'Bermuda Highball', 'Dry Rob Roy', 'Loch Lomond', 'Lone Tree Cooler']"
Amaretto,Light Cream,5,11,29,"['Almond Joy', 'Amaretto And Cream', 'Foxy Lady', 'Orgasm', 'Scooter']"
Lemon Juice,Orange,9,15,17,"['Apricot Lady', 'Bourbon Sour', 'French 75', 'Gin Daisy', 'Gin Sour', 'John Collins', 'Rum Sour', 'Tom Collins', 'Victory Collins']"
Orange Juice,Pineapple Juice,6,0,31,"['Arizona Twister', ""Planter's Punch"", 'Rum Runner', 'Space Odyssey', 'Sunny Holiday Punch', 'Wine Punch']"
Lemon Juice,Vodka,7,15,1,"['Avalon', 'Bloody Mary', 'Blue Mountain', 'Brain Fart', 'Ice Pick #1', 'Russian Spring Punch', 'Victory Collins']"
Gin,Maraschino Liqueur,6,3,32,"['Aviation', 'Boomerang', 'Casino', 'Casino Royale', 'London Town', 'Tuxedo Cocktail']"
Carbonated Water,Gin,10,33,3,"['Bermuda Highball', 'English Highball', 'Gin Cooler', 'Gin Fizz', 'Gin Smash', 'Gin Squirt', 'Lady Love Fizz', 'Lone Tree Cooler', 'Royal Gin Fizz', 'Singapore Sling']"
Brandy,Triple Sec,5,34,6,"['Between The Sheets', 'Boston Sidecar', 'Cafe Savoy', 'City Slicker', 'Sidecar Cocktail']"
Lime Juice,Tequila,5,21,5,"['Blue Margarita', 'Margarita', ""Tommy's Margarita"", 'Vampiro', 'Whitecap Margarita']"
Gin,Maraschino Cherry,6,3,35,"['Bluebird', 'Boomerang', 'French 75', 'Gin Daisy', 'Gin Sour', 'Tom Collins']"
Light Rum,Lime,5,7,36,"['Boston Sidecar', 'Cuba Libre', 'Daiquiri', 'Mojito', 'Quarter Deck Cocktail']"
Blended Whiskey,Lemon,11,37,4,"['Boston Sour', 'Boston Sour', 'California Lemonade', 'Frisco Sour', 'Frisco Sour', 'Imperial Fizz', 'Japanese Fizz', 'New York Sour', 'New York Sour', 'Whiskey Sour', 'Whiskey Sour']"
Cherry,Lemon,11,16,4,"['Boston Sour', 'Boston Sour', 'Brandy Sour', 'Brandy Sour', 'New York Sour', 'New York Sour', 'Scotch Sour', 'Tequila Sour', 'Tequila Sour', 'Whiskey Sour', 'Whiskey Sour']"
Egg White,Lemon,7,20,4,"['Boston Sour', 'Boston Sour', 'Chicago Fizz', 'Clover Club', 'Japanese Fizz', 'Lady Love Fizz', 'Vesuvio']"
Lemon,Lemon,6,4,4,"['Boston Sour', 'Brandy Sour', 'Frisco Sour', 'New York Sour', 'Tequila Sour', 'Whiskey Sour']"
Lemon Peel,Water,6,27,38,"['Bourbon Sling', 'Gin Toddy', 'Gluehwein', 'Mulled Wine', 'Rum Toddy', 'Sazerac']"
Lemon Juice,Maraschino Cherry,7,15,35,"['Bourbon Sour', 'French 75', 'Gin Daisy', 'Gin Sour', 'John Collins', 'Rum Sour', 'Tom Collins']"
Maraschino Cherry,Orange,10,35,17,"['Bourbon Sour', 'Brandy Cobbler', 'Classic Old-Fashioned', 'French 75', 'Gin Daisy', 'Gin Sour', 'John Collins', 'Rum Cobbler', 'Rum Sour', 'Tom Collins']"
Brandy,Lemon,7,34,4,"['Brandy Cobbler', 'Brandy Sour', 'Brandy Sour', 'Mississippi Planters Punch', ""Quaker's Cocktail"", ""Sangria - The World's Best"", 'Sidecar Cocktail']"
Egg,Nutmeg,5,39,30,"['Brandy Flip', 'Egg Nog - Healthy', 'Port Wine Flip', 'Sherry Eggnog', 'Sherry Flip']"
Carbonated Water,Lemon,8,33,4,"['California Lemonade', 'Chicago Fizz', 'Gin Fizz', 'Imperial Fizz', 'Japanese Fizz', 'Lady Love Fizz', 'Mississippi Planters Punch', 'Royal Gin Fizz']"
Lemon,Lime,7,4,36,"['California Lemonade', 'Frisco Sour', 'Frisco Sour', 'Frisco Sour', 'Frisco Sour', 'Gin Rickey', 'Scotch Sour']"
Kahlua,Vodka,5,10,1,"['Chocolate Black Russian', 'Espresso Martini', 'Irish Russian', 'Oreo Mudslide', 'Screaming Orgasm']"
Amaretto,Vodka,5,11,1,"['Flaming Dr. Pepper', 'Godchild', 'Godmother', 'Kool-Aid Shot', 'Orgasm']"
