strDrink,Ingredients
Rum Cobbler,"['Lemon', 'Dark Rum', 'Sugar', 'Club Soda', 'Orange', 'Maraschino Cherry']"
Rum Milk Punch,"['Sugar', 'Light Rum', 'Nutmeg', 'Milk']"
Rum Screwdriver,"['Light Rum', 'Orange Juice']"
Rum Sour,"['Light Rum', 'Sugar', 'Lemon Juice', 'Maraschino Cherry', 'Orange']"
Rum Toddy,"['Rum', 'Sugar', 'Lemon Peel', 'Water']"
Scooter,"['Light Cream', 'Brandy', 'Amaretto']"
Scotch Sour,"['Sugar', 'Lime', 'Lemon', 'Cherry', 'Scotch']"
Screaming Orgasm,"[""Bailey'S Irish Cream"", 'Kahlua', 'Vodka']"
Screwdriver,"['Orange Juice', 'Vodka']"
Sidecar Cocktail,"['Triple Sec', 'Lemon', 'Brandy']"
Tequila Fizz,"['Egg White', 'Tequila', 'Grenadine', 'Lemon Juice', 'Ginger Ale']"
Tequila Sour,"['Lemon', 'Sugar', 'Cherry', 'Tequila', 'Lemon']"
Tequila Sunrise,"['Tequila', 'Orange Juice', 'Grenadine']"
Tom Collins,"['Club Soda', 'Gin', 'Lemon Juice', 'Maraschino Cherry', 'Orange', 'Sugar']"
Vesuvio,"['Egg White', 'Light Rum', 'Sweet Vermouth', 'Sugar', 'Lemon']"
Victor,"['Gin', 'Brandy', 'Sweet Vermouth']"
Waikiki Beachcomber,"['Gin', 'Pineapple Juice', 'Triple Sec']"
White Lady,"['Lemon Juice', 'Triple Sec', 'Gin']"
