strDrink,strCategory,strGlass,strIngredients,strInstructions,rank
Long Island Iced Tea,Ordinary Drink,Highball Glass,Coca-Cola,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.,58
Long Island Iced Tea,Ordinary Drink,Highball Glass,Tequila,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.,58
Long Island Iced Tea,Ordinary Drink,Highball Glass,Lemon Peel,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.,58
Mai Tai,Ordinary Drink,Collins Glass,Cherry,Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.,32
Mai Tai,Ordinary Drink,Collins Glass,Orgeat Syrup,Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.,32
Mai Tai,Ordinary Drink,Collins Glass,Light Rum,Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.,32
Mai Tai,Ordinary Drink,Collins Glass,Sweet And Sour,Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.,32
Mai Tai,Ordinary Drink,Collins Glass,Triple Sec,Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.,32
Manhattan,Cocktail,Cocktail Glass,Maraschino Cherry,"Stirred over ice, strained into a chilled glass, garnished, and served up.",40
Manhattan,Cocktail,Cocktail Glass,Bourbon Blended,"Stirred over ice, strained into a chilled glass, garnished, and served up.",40
Manhattan,Cocktail,Cocktail Glass,Angostura Bitters,"Stirred over ice, strained into a chilled glass, garnished, and served up.",40
Manhattan,Cocktail,Cocktail Glass,Sweet Vermouth,"Stirred over ice, strained into a chilled glass, garnished, and served up.",40
Manhattan,Cocktail,Cocktail Glass,Orange Peel,"Stirred over ice, strained into a chilled glass, garnished, and served up.",40
Margarita,Ordinary Drink,Cocktail Glass,Tequila,"Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass.",8
Margarita,Ordinary Drink,Cocktail Glass,Triple Sec,"Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass.",8
Margarita,Ordinary Drink,Cocktail Glass,Lime Juice,"Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass.",8
Margarita,Ordinary Drink,Cocktail Glass,Salt,"Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass.",8
Mojito,Cocktail,Highball Glass,Sugar,Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.,55
Mojito,Cocktail,Highball Glass,Mint,Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.,55
Mojito,Cocktail,Highball Glass,Lime,Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.,55
Mojito,Cocktail,Highball Glass,Soda Water,Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.,55
Mojito,Cocktail,Highball Glass,Light Rum,Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.,55
Moscow Mule,Punch / Party Drink,Copper Mug,Vodka,Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.,19
Moscow Mule,Punch / Party Drink,Copper Mug,Lime Juice,Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.,19
Moscow Mule,Punch / Party Drink,Copper Mug,Ginger Ale,Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.,19
Negroni,Ordinary Drink,Old-fashioned glass,Sweet Vermouth,"Stir into glass over ice, garnish and serve.",23
Negroni,Ordinary Drink,Old-fashioned glass,Campari,"Stir into glass over ice, garnish and serve.",23
Negroni,Ordinary Drink,Old-fashioned glass,Gin,"Stir into glass over ice, garnish and serve.",23
New York Sour,Ordinary Drink,Whiskey sour glass,Blended Whiskey,"Shake blended whiskey, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Float claret on top. Decorate with the half-slice of lemon and the cherry and serve.",80
New York Sour,Ordinary Drink,Whiskey sour glass,Cherry,"Shake blended whiskey, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Float claret on top. Decorate with the half-slice of lemon and the cherry and serve.",80
New York Sour,Ordinary Drink,Whiskey sour glass,Sugar,"Shake blended whiskey, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Float claret on top. Decorate with the half-slice of lemon and the cherry and serve.",80
New York Sour,Ordinary Drink,Whiskey sour glass,Lemon,"Shake blended whiskey, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Float claret on top. Decorate with the half-slice of lemon and the cherry and serve.",80
New York Sour,Ordinary Drink,Whiskey sour glass,Red Wine,"Shake blended whiskey, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Float claret on top. Decorate with the half-slice of lemon and the cherry and serve.",80
New York Sour,Ordinary Drink,Whiskey sour glass,Lemon,"Shake blended whiskey, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Float claret on top. Decorate with the half-slice of lemon and the cherry and serve.",80
Old Fashioned,Cocktail,Old-fashioned glass,Angostura Bitters,"Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water. Muddle until dissolved.
Fill the glass with ice cubes and add whiskey.

Garnish with orange twist, and a cocktail cherry.",50
